delta,ratio
-19.72929153678418,0.001646397681872064
-20.857456000807677,0.004983096983799447
-17.67880180534658,0.0046318654783334065
-19.02595820345085,0.002019581156429732
-17.384801740865814,0.009680818369407736
-21.34414002163267,0.0038635465601264433
-21.214889501160773,0.002875707951003205
-18.762777184118686,0.012490670413136059
-17.91952255988649,0.004434297756508759
-14.769108888382355,0.0016024937436888089
-15.4908342365087,0.0053123765201738594
-17.39134281883546,0.002283004785529262
-19.481719520323274,0.005334328489265487
-14.41327163628667,0.007353909645695219
-14.792866416011234,0.004544057601966896
-20.567624870117513,0.0010536945163981209
-18.34492372069223,0.001909821310971594
-17.155268548278436,0.001273214207314396
-13.795760183648866,0.004434297756508759
-17.941966108589188,0.011107696360363524
-17.21422980838912,0.003556218992843658
-19.925172863136712,0.004192826096500856
-21.68013277650588,0.011568687711287702
-13.951513759006403,0.004939193045616192
-10.550649561475538,0.007112437985687316
-18.598362575035548,0.004017210343767836
-20.330306029537805,0.002019581156429732
-16.261590387358893,0.007639285243886376
-22.09090482266793,0.006168503314747333
-15.778916783332505,0.0037098827764850506
-15.952249996763918,0.014444395662290907
-22.04518897268162,0.0008561267945734732
-15.155390827564323,0.00309522764191948
-18.442624870117513,0.0010536945163981209
2.712171093343894,0.001558589805505554
