ID,X,Y,A,B,theta,total_flux,mu_max,mu_median,mu_mean,R_fwhm,R_e,R10,R90,x_start,x_end,y_start,y_end,area,greylevel
0,514.9403997753782,519.6355854098705,301.53399739058074,293.84680702696886,-1.003647355529355,1166405.0,10.0,1.0,1.5608632350304168,82.87251718333086,224.60344096221166,83.86332294412651,368.4369653579388,0,1023,0,1023,747282,1.5608632350304168
1,770.5816023738872,2.9812067260138475,9.255574741990625,1.9986827079910692,0.045917512642497466,1011.0,8.0,3.0,3.597864768683274,6.076507779746499,5.262410103554244,2.0342144725641096,8.387281135541944,748,790,0,8,281,7.597864768683274
2,827.680701754386,3.4,2.6530581312486645,2.149099678515057,0.3244427155411564,285.0,5.0,4.0,3.064516129032258,4.222008245644752,3.0382538898732494,1.2615662610100802,4.51351666838205,823,834,0,8,93,6.064516129032258
3,516.6,1.16,1.744715692048191,1.135943288152999,0.047973236339091826,50.0,3.0,1.0,1.2820512820512822,2.1850968611841584,1.692568750643269,0.5641895835477563,2.7057581899030048,513,521,0,5,39,6.282051282051282
4,642.929292929293,5.993939393939394,3.992685842942195,2.4438935038040053,-0.9559168632108512,495.0,6.0,3.0,3.0555555555555554,5.556622981616415,4.029119531035698,1.5957691216057308,6.128667601500942,635,651,0,14,162,7.055555555555555
5,725.4814814814815,1.6111111111111112,2.5794597128284074,1.4077809216685961,-0.035264100347680044,216.0,8.0,3.0,3.130434782608696,2.985410660720923,2.326213245840639,0.7978845608028654,3.6996385101659595,720,731,0,6,69,9.130434782608695
6,881.727626459144,2.544747081712062,2.3074351530048265,1.7514143428701778,-0.5633437340125826,257.0,8.0,3.0,3.2125,3.141274657157109,2.393653682408596,0.9772050238058398,3.989422804014327,877,888,0,8,80,9.2125
7,567.6941982272361,13.724818694601128,9.864405016060891,5.900915967576399,0.37115959850011704,2482.0,6.0,3.0,3.1338383838383836,12.527041705391134,9.009385160867895,3.6125759969217834,14.002817212590296,548,588,0,31,792,6.133838383838384
8,703.0987460815047,22.162382445141066,10.686626722833596,6.9374963752746,-0.8625663794439992,3190.0,11.0,3.0,3.9285714285714284,6.770275002573076,8.79484521425256,3.141274657157109,14.1160188704554,681,732,0,43,812,6.928571428571429
9,100.3496831082943,11.520804629374483,7.5727399756268134,6.340935415567033,-0.7160444439356699,3629.0,17.0,5.0,5.384272997032641,5.4115163798060095,7.694520051971082,2.7057581899030048,12.334995970645954,87,118,0,31,674,8.38427299703264
